SCHOOL,DISTRICT,COUNTY,DISTRICT_TYPE,REGION,ATTENDANCE_RATE,LANGUAGE_ARTS_AVERAGE_CLASS_SIZE,MATHEMATICS_AVERAGE_CLASS_SIZE,SCIENCE_AVERAGE_CLASS_SIZE,HISTORY_GOVERNMENT_AND_GEOGRAPHY_AVERAGE_CLASS_SIZE,GRADE_1_AVERAGE_CLASS_SIZE,GRADE_2_AVERAGE_CLASS_SIZE,KINDERGARTEN_AVERAGE_CLASS_SIZE,PERCENT_FREE_LUNCH,PERCENT_REDUCED_LUNCH,NUMBER_OF_TEACHERS,NUMBER_OF_COUNSELORS,NUMBER_OF_SOCIAL_WORKERS,TEACHER_TURNOVER_RATE,PERCENT_OF_STUDENTS_SUSPENDED,N_PUPILS,FEDERAL_FUNDING_PER_PUPIL,LOCAL_FUNDING_PER_PUPIL,PRE_K,K,GRADE_01,GRADE_02,GRADE_03,GRADE_04,GRADE_05,GRADE_06,GRADE_07,GRADE_08,GRADE_09,GRADE_10,GRADE_11,GRADE_12,PERCENT_MALE,PERCENT_FEMALE,PERCENT_ENGLISH_LANGUAGE_LEANERS,PERCENT_AMERICAN_INDIAN,PERCENT_BLACK,PERCENT_ASIAN,PERCENT_HISPANIC,PERCENT_WHITE,PERCENT_MULTIRACIAL,PERCENT_WITH_DISABILITIES,PERCENT_ECONOMICALLY_DISADVANTAGED,PERCENT_MIGRANT,PERCENT_HOMELESS,PERCENT_IN_FOSTER_CARE,PERCENT_PARENT_ARMED_FORCES
921239e6,e93bd0b0,ec3f85d5,Average Need,"Capital District, New York",94,15.333333333333334,15.333333333333334,17,NA,14,15,13,38,2,40,1,1,NA,1,415,1832,24404,34,52,56,59,82,65,67,0,0,0,0,0,0,0,53,47,1,0,3,2,9,82,5,18,45,0,1,1,0
7b997791,e93bd0b0,ec3f85d5,Average Need,"Capital District, New York",93,16.333333333333332,16.666666666666668,16,NA,16,17,18,41,3,43,1,1,NA,0,445,1825,25022,36,74,65,69,62,70,69,0,0,0,0,0,0,0,52,48,2,0,3,0,11,79,6,20,50,0,0,0,0
88cc3ddf,e93bd0b0,ec3f85d5,Average Need,"Capital District, New York",93,18.333333333333332,18.75,20.5,NA,NA,NA,NA,40,4,53,2,5,NA,13,393,1980,27720,0,0,0,0,0,0,0,122,134,136,0,0,0,0,46,54,1,0,5,1,9,77,8,20,49,0,0,0,0
6fcb764d,b469f4b9,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",90,16,16,18,NA,17,17,18,75,2,25,0,2,NA,3,320,3736,21097,0,62,51,52,54,42,54,0,0,0,0,0,0,0,53,47,0,0,13,1,16,55,14,17,82,0,8,0,0
1d92eccc,b469f4b9,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",93,18.666666666666668,18.666666666666668,19,NA,16,12,17,74,1,12,0,1,NA,1,137,4217,30946,0,24,20,25,25,20,23,0,0,0,0,0,0,0,60,40,1,0,12,0,16,58,14,39,79,0,7,0,0
5dee677d,b469f4b9,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",84,21,17.333333333333332,20,17,NA,NA,NA,63,1,52,2,3,NA,20,593,2417,22657,0,0,0,0,0,0,0,0,0,0,193,167,117,105,52,48,2,0,13,2,11,67,7,20,66,0,6,0,0
000dca43,b469f4b9,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",88,19,20.5,23.5,NA,NA,NA,NA,66,2,47,3,1,NA,24,467,3357,20926,0,0,0,0,0,0,0,168,144,147,0,0,0,0,56,44,3,0,11,1,15,62,10,20,71,0,4,0,0
a2dcfd56,b469f4b9,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",91,17,17,13,NA,18,20,22,59,3,31,1,1,NA,2,378,3313,19612,0,67,72,81,50,68,40,0,0,0,0,0,0,0,50,50,12,0,9,3,11,64,12,17,65,0,6,1,0
f0927744,4923e0df,ec3f85d5,Average Need,"Capital District, New York",94,19.5,19.5,NA,NA,21,21,19,56,4,24,0,1,NA,0,369,1652,19337,52,57,62,62,72,64,0,0,0,0,0,0,0,0,49,51,15,0,14,16,18,44,7,12,63,0,4,1,0
e8baa6ea,4923e0df,ec3f85d5,Average Need,"Capital District, New York",94,13,13,NA,NA,15,15,15,33,3,23,0,1,NA,0,376,778,20382,56,61,61,61,68,69,0,0,0,0,0,0,0,0,47,53,5,0,9,13,6,67,6,13,38,0,1,0,0
8579b677,4923e0df,ec3f85d5,Average Need,"Capital District, New York",94,19.5,19.5,NA,NA,17,22,20,34,2,21,0,1,NA,0,329,896,24165,0,61,67,66,66,69,0,0,0,0,0,0,0,0,55,45,9,1,5,13,10,63,8,12,37,0,4,0,0
606b251d,4923e0df,ec3f85d5,Average Need,"Capital District, New York",92,18,20.333333333333332,19,17.5,NA,NA,NA,38,3,123,7,1,NA,2,1558,922,23170,0,0,0,0,0,0,0,0,0,0,400,386,387,357,50,50,3,0,9,11,11,61,7,17,42,0,3,0,0
e06c1670,4923e0df,ec3f85d5,Average Need,"Capital District, New York",93,10.5,10.5,NA,NA,8,10,12,42,7,26,0,1,NA,0,319,1591,24028,18,72,57,55,54,55,0,0,0,0,0,0,0,0,54,46,14,0,11,19,9,52,9,22,53,0,2,0,0
c73a536f,4923e0df,ec3f85d5,Average Need,"Capital District, New York",94,21,21,NA,NA,18,19,22,38,2,28,0,1,NA,0,484,904,19078,18,89,94,95,94,94,0,0,0,0,0,0,0,0,48,52,6,0,8,14,9,61,8,10,40,0,2,0,1
d666fe2a,4923e0df,ec3f85d5,Average Need,"Capital District, New York",93,15.5,17,18.333333333333332,NA,NA,NA,NA,44,4,81,2,1,NA,5,882,1122,23543,0,0,0,0,0,0,209,202,230,223,0,0,0,0,50,50,7,0,11,15,12,52,9,16,50,0,4,0,0
26d1d9ab,4923e0df,ec3f85d5,Average Need,"Capital District, New York",94,15.75,14.666666666666666,17,NA,NA,NA,NA,36,4,57,2,1,NA,3,646,989,24787,0,0,0,0,0,0,150,157,161,171,0,0,0,0,53,47,4,0,11,11,8,62,9,14,40,0,2,0,0
296b5d8f,89f8e849,ec3f85d5,Average Need,"Capital District, New York",95,15,12.857142857142858,10.333333333333334,NA,16,15,14,34,5,30,1,2,NA,4,257,2142,30300,0,28,34,34,25,37,30,23,30,16,0,0,0,0,48,52,11,0,38,28,5,26,2,14,43,1,4,1,1
5f578840,be365094,ec3f85d5,Low Need,"Capital District, New York",95,16.666666666666668,16.666666666666668,18,NA,14,15,13,34,3,39,1,0,NA,3,439,1706,21392,0,63,69,77,71,83,68,0,0,0,0,0,0,0,58,42,10,0,9,21,8,55,7,18,41,0,2,0,1
0b180dfb,be365094,ec3f85d5,Low Need,"Capital District, New York",95,24,24,23,NA,22,23,20,21,2,47,1,1,NA,0,547,952,19168,0,78,87,93,94,101,93,0,0,0,0,0,0,0,50,50,11,1,7,34,6,48,5,10,25,0,1,0,1
381eee11,be365094,ec3f85d5,Low Need,"Capital District, New York",94,24,24,24,NA,22,23,21,33,4,42,1,1,NA,2,439,1130,20641,0,64,67,70,95,72,71,0,0,0,0,0,0,0,51,49,18,0,7,22,12,53,5,14,42,0,7,1,0
ca5fbbc0,be365094,ec3f85d5,Low Need,"Capital District, New York",94,22,22,27,NA,23,26,23,22,2,39,1,1,NA,3,451,1042,19980,0,69,68,79,73,82,80,0,0,0,0,0,0,0,53,47,6,0,5,20,4,64,6,24,28,0,1,0,0
a71c91fe,be365094,ec3f85d5,Low Need,"Capital District, New York",95,25,25,27,NA,22,26,22,18,1,24,1,1,NA,2,286,599,21757,0,44,44,51,51,43,53,0,0,0,0,0,0,0,50,49,5,0,1,13,12,65,9,17,19,0,1,0,1
6643b9df,be365094,ec3f85d5,Low Need,"Capital District, New York",95,16,16.666666666666668,14,NA,15,17,14,21,3,40,1,0,NA,1,392,768,23767,0,41,58,66,68,74,72,0,0,0,0,0,0,0,56,44,5,0,8,19,5,59,7,18,27,0,1,0,0
51ab274a,be365094,ec3f85d5,Low Need,"Capital District, New York",94,22.666666666666668,16.333333333333332,17,NA,NA,NA,NA,25,3,132,6,1,NA,5,1470,870,20323,0,0,0,0,0,0,0,495,469,492,0,0,0,0,48,52,5,0,8,24,7,55,6,12,31,0,2,0,0
3d244011,be365094,ec3f85d5,Low Need,"Capital District, New York",92,17,21,21,19,NA,NA,NA,27,3,177,12,1,NA,4,2074,1701,20240,0,0,0,0,0,0,0,0,0,0,567,501,491,488,52,48,3,1,9,23,7,54,6,13,32,0,2,0,0
c941ac79,f4ad021a,ec3f85d5,High-Need Urban/Suburban,"Capital District, New York",93,11.857142857142858,14.714285714285714,18.5,21,18,22,19,56,0,38,2,1,NA,13,249,0,35759,14,19,18,22,17,17,16,20,10,17,14,24,21,20,53,47,9,0,14,4,8,59,15,20,62,0,2,0,0
9d4fcf40,f2e50ebe,ec3f85d5,Low Need,"Capital District, New York",95,20.333333333333332,20.333333333333332,19,NA,18,17,17,23,2,36,2,1,NA,2,306,1539,24779,0,57,40,56,47,57,38,0,0,0,0,0,0,0,56,44,6,1,1,11,5,78,3,22,27,0,0,0,0
33a7132b,e843faf2,13709e27,Average Need,Southern Tier,93,15,14.5,NA,NA,13,14,16,52,1,26,0,1,NA,2,314,2817,22010,47,49,53,57,54,54,0,0,0,0,0,0,0,0,54,46,1,0,3,2,6,81,8,16,59,0,4,0,0
c2c08959,e843faf2,13709e27,Average Need,Southern Tier,94,15,15,NA,NA,14,16,13,32,1,28,0,1,NA,2,414,1473,21576,72,75,68,65,69,65,0,0,0,0,0,0,0,0,45,55,0,0,1,2,4,88,5,17,37,0,0,0,0
093de009,e843faf2,13709e27,Average Need,Southern Tier,94,14.5,14.5,NA,NA,13,11,14,29,3,28,0,1,NA,1,380,1811,22036,54,57,74,66,71,58,0,0,0,0,0,0,0,0,52,48,1,0,1,2,6,88,4,20,34,0,1,0,1
3d11366d,e843faf2,13709e27,Average Need,Southern Tier,95,18,20.333333333333332,17.5,17,NA,NA,NA,28,2,91,5,2,NA,7,1122,970,22489,0,0,0,0,0,0,0,0,0,0,304,280,287,251,52,47,0,0,1,3,4,84,7,9,32,0,1,0,0
a0b67161,e843faf2,13709e27,Average Need,Southern Tier,94,16,15.5,NA,NA,16,16,19,37,2,31,0,2,NA,0,385,1562,22024,0,74,78,96,67,70,0,0,0,0,0,0,0,0,48,52,3,0,4,8,5,77,5,15,43,0,3,1,1
1400fe59,e843faf2,13709e27,Average Need,Southern Tier,93,16,15.666666666666666,19,NA,NA,NA,NA,36,2,55,2,1,NA,8,542,1251,24341,0,0,0,0,0,0,0,0,270,270,0,0,0,0,54,46,0,0,1,2,4,87,5,14,40,0,0,0,0
5040abb4,e843faf2,13709e27,Average Need,Southern Tier,94,19,20.5,21,NA,NA,NA,NA,38,3,45,1,2,NA,3,574,1623,19341,0,0,0,0,0,0,276,294,0,0,0,0,0,0,51,49,1,0,3,3,5,86,3,16,42,0,1,1,0
b63540a4,86f7ebeb,13709e27,Average Need,Southern Tier,92,17,13,11,16,NA,NA,NA,46,2,27,2,0,NA,9,313,2402,22319,0,0,0,0,0,0,0,0,0,0,83,89,72,69,48,52,0,0,4,0,4,82,9,16,50,0,0,0,0
9726086d,86f7ebeb,13709e27,Average Need,Southern Tier,93,14.666666666666666,14,14.5,NA,NA,NA,NA,52,0,28,1,0,NA,7,250,2181,19908,0,0,0,0,0,0,0,89,77,84,0,0,0,0,50,50,0,0,4,0,4,83,8,17,53,0,1,0,0
c59cc441,86f7ebeb,13709e27,Average Need,Southern Tier,93,15,15,21,NA,NA,NA,NA,51,0,46,1,0,NA,2,488,2239,20287,43,70,71,81,64,76,83,0,0,0,0,0,0,0,49,51,0,0,3,0,5,85,6,15,56,0,0,0,0
44218b09,30406d3b,ba37e265,High-Need Rural,Southern Tier,93,10.666666666666666,10.666666666666666,15,NA,NA,NA,NA,51,1,26,1,1,NA,5,213,3487,33153,20,36,33,30,19,43,32,0,0,0,0,0,0,0,47,53,1,0,2,1,5,91,2,16,58,0,1,0,0
5b1537e6,30406d3b,ba37e265,High-Need Rural,Southern Tier,89,14.25,12.285714285714286,11.5,14.5,NA,NA,NA,53,0,32,2,1,NA,16,247,3119,38659,0,0,0,0,0,0,0,31,28,34,36,34,31,46,50,50,0,0,2,0,5,88,4,17,57,0,3,0,0
9f886867,7e14bce4,ba37e265,Average Need,Southern Tier,91,15.333333333333334,15.4,14.8,18,NA,NA,NA,44,1,28,2,1,NA,11,349,1512,25747,0,0,0,0,0,0,0,0,55,55,61,57,65,55,50,50,0,1,1,2,5,87,5,19,49,0,1,0,0
4cadb87d,7e14bce4,ba37e265,Average Need,Southern Tier,92,13.5,13.75,16,NA,NA,NA,NA,49,1,22,2,1,NA,4,281,2998,20643,0,0,0,60,41,58,65,55,0,0,0,0,0,0,54,46,0,0,0,1,5,90,4,17,56,0,2,0,0
eeddd023,7e14bce4,ba37e265,Average Need,Southern Tier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f244c272,49965dcb,ba37e265,High-Need Rural,Southern Tier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15046b89,49965dcb,ba37e265,High-Need Rural,Southern Tier,95,13.666666666666666,13.666666666666666,13,NA,NA,NA,NA,47,1,25,2,0,NA,1,190,2965,24844,0,0,0,0,49,74,67,0,0,0,0,0,0,0,48,52,2,0,2,1,2,95,1,14,51,0,1,1,0
b5218ea2,49965dcb,ba37e265,High-Need Rural,Southern Tier,95,19,15.333333333333334,14.25,15,NA,NA,NA,36,0,28,2,0,NA,3,267,2965,28852,0,0,0,0,0,0,0,0,0,0,71,64,73,58,52,48,0,1,1,1,3,93,0,10,38,0,0,0,0
9f8c32dd,49965dcb,ba37e265,High-Need Rural,Southern Tier,94,14.666666666666666,14.75,16,NA,NA,NA,NA,44,0,26,1,0,NA,3,203,2951,26199,0,0,0,0,0,0,0,61,73,68,0,0,0,0,54,46,1,0,2,1,2,95,0,15,47,0,0,0,0
a3b1b538,fa4bec9d,ba37e265,High-Need Rural,Southern Tier,88,9.333333333333334,12,12.6,13.5,NA,NA,NA,59,1,34,1,0,NA,13,343,3827,28134,0,0,0,0,0,1,0,0,64,53,66,53,50,53,49,51,0,1,1,1,2,95,1,23,64,0,4,0,0
1816374b,fa4bec9d,ba37e265,High-Need Rural,Southern Tier,90,12,11.5,9,NA,NA,NA,NA,59,3,43,2,0,NA,6,455,3861,22994,33,53,66,71,58,47,51,72,1,0,0,0,0,0,52,48,0,0,0,0,1,97,1,21,67,0,2,0,0
bf1860d5,c11a4ada,ba37e265,High-Need Rural,Southern Tier,93,18,18,19,NA,NA,NA,NA,59,1,35,2,1,NA,0,343,2799,23165,0,0,0,0,103,123,115,0,0,0,0,0,0,0,52,48,1,0,3,1,1,95,1,20,66,0,3,1,0
bbee3bda,c11a4ada,ba37e265,High-Need Rural,Southern Tier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95c65eb7,c11a4ada,ba37e265,High-Need Rural,Southern Tier,92,11.333333333333334,16,21,NA,NA,NA,NA,52,0,44,2,1,NA,10,393,2713,23567,0,0,0,0,0,0,0,123,127,139,0,0,0,0,47,53,1,0,5,3,3,86,4,17,59,0,4,0,0
fd93f8cf,c11a4ada,ba37e265,High-Need Rural,Southern Tier,88,14,15.5,17.75,14.5,NA,NA,NA,46,0,54,4,0,NA,2,516,4503,21937,0,0,0,0,0,0,0,0,0,0,138,140,125,104,56,44,0,0,2,2,4,91,2,18,50,0,3,1,0
2bf2d01f,3c2db4f2,ba37e265,High-Need Rural,Southern Tier,91,17.142857142857142,14.5,13.8,11.5,NA,NA,NA,50,0,23,0,0,NA,4,290,5707,36743,14,18,17,16,25,25,18,20,20,28,18,29,18,24,51,49,2,0,0,1,2,97,0,20,50,0,0,0,0
1d3cedf5,03d79c47,ba37e265,High-Need Rural,Southern Tier,93,14.75,15,13.5,NA,NA,NA,NA,48,1,25,1,0,NA,5,216,2956,22134,0,0,0,0,0,0,44,64,54,53,0,0,0,0,46,54,0,0,3,0,4,93,1,14,53,0,0,1,0
3056bb80,03d79c47,ba37e265,High-Need Rural,Southern Tier,94,14,10,16.75,16.5,NA,NA,NA,40,1,23,1,0,NA,7,201,3112,37107,0,0,0,0,0,0,0,0,0,0,57,58,41,44,48,52,0,0,1,1,2,95,1,11,45,0,0,0,0
